,Metric
Gene_1,-0.0125444128308101
Gene_2,-0.0969676145652165
Gene_3,-0.3681599600285911
Gene_4,0.1452470585608736
Gene_5,0.0289606231620293
Gene_6,-0.0642427162499477
Gene_7,-0.0814779223293932
Gene_8,-0.4615272866004595
Gene_9,-0.1687138441983791
Gene_10,-0.0596209144175279
Gene_11,-0.1974747074190022
Gene_12,0.069969235328197
Gene_13,-0.180995140491135
Gene_14,-0.4119960340201814
Gene_15,-0.3623322308417799
Gene_16,-0.3063118919428864
Gene_17,-0.1517418232547595
Gene_18,0.0327629547779837
Gene_19,-0.1282189038633492
Gene_20,-0.1358825488536778
Gene_21,-0.2342464110017573
Gene_22,-0.1730712843459656
Gene_23,0.1587395951004896
Gene_24,-0.2060976014598261
Gene_25,0.1201852245822171
Gene_26,0.2787789082841038
Gene_27,-0.3160032921691681
Gene_28,-0.0006897595419114
Gene_29,-0.0925738826256601
Gene_30,-0.2929053393903617
Gene_31,-0.1104373196130463
Gene_32,0.0572473263000543
Gene_33,-0.3476886032282674
Gene_34,0.1114920940877355
Gene_35,-0.4308665757338256
Gene_36,0.1099759220204963
Gene_37,0.1966086405783426
Gene_38,0.0057165372343917
Gene_39,-0.005880073861653
Gene_40,0.0184285995303776
Gene_41,0.1913617371638523
Gene_42,0.1279632733254527
Gene_43,0.1325981107835074
Gene_44,0.0643675306440183
Gene_45,0.1237659097307201
Gene_46,-0.1662413830800756
Gene_47,-0.0811546705833656
Gene_48,-0.1311847405541501
Gene_49,-0.0470442014858608
Gene_50,-0.1503728982878118
Gene_51,-0.3392782286900061
Gene_52,0.0839598736692987
Gene_53,-0.1051495357467769
Gene_54,-0.3325358359420214
Gene_55,-0.1832520662936075
Gene_56,-0.2308812550294983
Gene_57,-0.0019788455021236
Gene_58,-0.3645436608933806
Gene_59,-0.4492715478638736
Gene_60,-0.112378828572908
Gene_61,-0.4617236338109395
Gene_62,0.0975095798473297
Gene_63,0.1190329362510914
Gene_64,-0.088120417384383
Gene_65,0.0318582559563791
Gene_66,-0.0536500387942517
Gene_67,-0.0287732701105675
Gene_68,0.0468928362972926
Gene_69,0.0819269030594139
Gene_70,-0.1121462500288513
Gene_71,-0.0811925071548224
Gene_72,0.1741858369732926
Gene_73,-0.2660202860698845
Gene_74,0.1360989347995059
Gene_75,0.174411121705088
Gene_76,-0.4019514997965935
Gene_77,0.0051887224633694
Gene_78,0.1144527744953027
Gene_79,0.1983848906465718
Gene_80,-0.2441689064336976
Gene_81,0.0925182691137664
Gene_82,-0.1013872342425471
Gene_83,-0.2108949822582276
Gene_84,-0.2808363492111447
Gene_85,-0.1175426727410957
Gene_86,-0.0535277505303742
Gene_87,0.0426386123075217
Gene_88,-0.3146758718257786
Gene_89,-0.0467825573344079
Gene_90,0.0003821596816377
Gene_91,0.2122349452706363
Gene_92,0.0786940817537467
Gene_93,0.1966382069988304
Gene_94,-0.1404742489706953
Gene_95,-0.185870432117358
Gene_96,0.0373239792505955
Gene_97,-0.0509181142171619
Gene_98,-0.0148852834487777
Gene_99,-0.0447578624469364
Gene_100,0.1361124965889955
Gene_101,-0.0713755290740773
Gene_102,0.1114851621447359
Gene_103,0.2203606800440805
Gene_104,0.1420278611015154
Gene_105,-0.0110016803867732
Gene_106,0.1186189160552759
Gene_107,-0.3214192597112023
Gene_108,-0.249607407378609
Gene_109,-0.0103595067826086
Gene_110,0.0052445543369475
Gene_111,0.1219834327087315
Gene_112,-0.269708896281107
Gene_113,-0.380651090232341
Gene_114,0.0005165650176021
Gene_115,0.1085760638047392
Gene_116,0.0682435575729973
Gene_117,-0.2339548701266661
Gene_118,-0.0157796881396761
Gene_119,-0.0492410786103758
Gene_120,-0.1289075995256999
Gene_121,0.1351080140420716
Gene_122,-0.0012339211353883
Gene_123,-0.0679565388131048
Gene_124,0.1696836158957436
Gene_125,-0.1183112381822681
Gene_126,-0.1876228486885695
Gene_127,0.0427679650585262
Gene_128,0.046721344730697
Gene_129,-0.1308604650146185
Gene_130,-0.1703286421237541
Gene_131,-0.0417976405402578
Gene_132,-0.1542789197398801
Gene_133,-0.0798277377367804
Gene_134,-0.1624038372002895
Gene_135,-0.3470163218030181
Gene_136,-0.0287471305809713
Gene_137,-0.1039561069551109
Gene_138,0.0753104738027381
Gene_139,-0.0498444127708171
Gene_140,-0.219177611832203
Gene_141,-0.2388790813427145
Gene_142,0.04798980495071
Gene_143,-0.1292467602125131
Gene_144,0.0221109388775261
Gene_145,0.091718526653028
Gene_146,-0.0118484891539031
Gene_147,-0.1434271169760812
Gene_148,-0.0174087690334228
Gene_149,0.1346820315683238
Gene_150,-0.2024871283708711
Gene_151,-0.0772245525626168
Gene_152,-0.3632201524551058
Gene_153,0.0732333000944077
Gene_154,0.1195798137163715
Gene_155,0.1529549945453405
Gene_156,-0.0456232867662966
Gene_157,0.1518591705490283
Gene_158,0.0765167400772805
